issue,title,validator comment,grade,root cause (URL),size
findings-3,PriceFeed doesn't check min/max price boundaries,oracle minAnswer,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/main/src/oracle/PriceFeed.sol#L84-L94,29
findings-4,Limit order offerers have little control over amounts they would borrow or lend,feature improvement slippage,Unsatisfactory,,67
findings-5,The debtor can be liquidated if his loan due date has come while the protocol is in the paused state,cannot repay if paused,Satisfactory,"https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/RiskLibrary.sol#L113, https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/LoanLibrary.sol#L135-L136",48
findings-6,Multicall incorrectly validates borrow token supply cap,borrowATokenCap multicall,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,101
findings-7,Incorrect validation in validateVariablePoolHasEnoughLiquidity will cause DoS of the protocol's major functions,aave liquidity check,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/CapsLibrary.sol#L68,70
findings-8,take profit loss when users sell credit with existing credit,related to finding#11,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/actions/BuyCreditMarket.sol#L121-L198,78
findings-10,Fragmentation fee is not taken if user compensates with newly created position,fragmentation fee RESERVED_ID,Satisfactory,"https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136, https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155",82
findings-11,"The initiator should pay the fragmentation fees in the sellCreditMarket function, rather than the lender.",fragmentation fee should be from initiator,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/SellCreditMarket.sol#L202,47
findings-12,Debt fragmentation via compensate can DOS liquidation attempts,fragmentation gas DOS liq,Satisfactory,https://github.com/SizeCredit/size-solidity/blob/fbfe6aa84c2a3ef1ded776cda7a079542a3cdef8/src/libraries/actions/Compensate.sol#L105-L173,226
findings-13,The `borrowATokenCap` can be bypassed when `deposit` is called by using `multicall`.,borrowATokenCap multicall,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,254
findings-14,Overestimating the credit amount when `buyCreditMarket` is executed due to not properly deducting the swap fee,swap fee,Satisfactory,"https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/AccountingLibrary.sol#L249, https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/AccountingLibrary.sol#L256",140
findings-15,`executeBuyCreditMarket` returns the wrong amount of cash and overestimates the amount that needs to be checked in the variable pool,miss fee in `cashAmountIn`,Satisfactory,"https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/BuyCreditMarket.sol#L195, https://github.com/code-423n4/2024-06-size/blob/main/src/Size.sol#L184",139
findings-16,`validateSellCreditMarket` and `validateBuyCreditMarket` incorrectly assumes `params.amount` is credit when validating against `minimumCreditBorrowAToken`,minimumCreditBorrowAToken,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/BuyCreditMarket.sol#L91-L93,83
findings-17,Incorrectly using `futureValue` instead of `debtInCollateralToken` when calculating `liquidatorReward`,liquidatorreward,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/actions/Liquidate.sol#L96-L99,119
findings-18,Users can bypass the borrowAToken cap check by using multicall,borrowATokenCap multicall,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,119
findings-19,"When the borrowAToken cap is reached, users may not always be able to repay their debt in some cases due to precision errors",borrowATokenCap multicall,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/Multicall.sol#L29,174
findings-20,No Fragmentation fees paid on credit fragmentation due to partial debt repayment,fragmentation fee RESERVED_ID,Satisfactory,"https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L136, https://github.com/code-423n4/2024-06-size/blob/main/src/libraries/actions/Compensate.sol#L146-L155",194
findings-21,Users won't liquidate positions because the logic used to calculate the liquidator's profit is incorrect,liquidatorreward,Satisfactory,https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/actions/Liquidate.sol#L96-L99,148
findings-22,Users can avoid full liquidation by splitting up their debt,liq split mechanism could be abused,Satisfactory,https://github.com/SizeCredit/size-solidity/blob/bb5837ad08d274779d48f776f45a2d2d1c21716f/src/libraries/actions/Liquidate.sol#L112,305
findings-23,The protocol cannot collect the full fee when borrowers sell credit without a fragmentation fee.,swap fee,Satisfactory,"https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/AccountingLibrary.sol#L249, https://github.com/code-423n4/2024-06-size/blob/8850e25fb088898e9cf86f9be1c401ad155bea86/src/libraries/AccountingLibrary.sol#L256",169
